,verse,terminacion
0,el año 2000 y 2008 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
1,la precipitación de la contención,"[<'con':cVc>, <'ten':cVc>, <'ción':cvVc>]"
2,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
3,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
4,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
5,el cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
6,calentamiento de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
7,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
9,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
10,la temperatura de la pronición,"[<'pro':ccV>, <'ni':cv>, <'ción':cvVc>]"
11,la temperatura de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
12,la temperatura de la entre el cambio,"[<'cam':cVc>, <'bio':cvV>]"
13,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
14,cambio climático en el año 2000,"[<'20':cc>, <'00':cc>]"
15,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
16,temperatura de la carticación,"[<'car':cVc>, <'ti':cv>, <'ca':cV>, <'ción':cvVc>]"
17,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
18,la temperatura de la contencia,"[<'con':cVc>, <'ten':cVc>, <'cia':cvV>]"
19,la mariación de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
20,de la tierra de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
21,la atmósfera de la tomperatura,"[<'tom':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
22,la temperatura de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
23,de la temperatura de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
24,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
25,de las precipitaciones de calor,"[<'ca':cV>, <'lor':cVc>]"
26,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
27,concentración de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
28,de la concentración de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
29,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
30,de la concentración de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
31,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
32,la concentración de la carticación,"[<'car':cVc>, <'ti':cv>, <'ca':cV>, <'ción':cvVc>]"
33,la temperatura de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
34,la temperatura de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
35,el año 2000 y 2007 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
36,el cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
37,la temperatura de la contencia,"[<'con':cVc>, <'ten':cVc>, <'cia':cvV>]"
38,el año 2000 el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
39,la temperatura de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
40,la temperatura de la evaludad,"[<'e':V>, <'va':cV>, <'lu':cv>, <'dad':cVc>]"
41,la energía de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
43,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
44,año 2000 en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
45,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
46,la temperatura de la contención,"[<'con':cVc>, <'ten':cVc>, <'ción':cvVc>]"
47,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
48,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
49,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
50,la consideración de la enalidad,"[<'e':V>, <'na':cV>, <'li':cv>, <'dad':cVc>]"
51,el año 2000 y 2007 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
52,la enteración de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
53,la temperatura de la consecto,"[<'con':cVc>, <'sec':sVc>, <'to':cV>]"
54,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
55,atmósfera de la tierra de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
56,la concentración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
57,las procestaciones de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
58,la temperatura de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
59,la entre el cambio climático es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
60,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
61,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
62,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
63,estabilización de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
64,la temperatura de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
65,temperatura de la contentiación,"[<'con':cVc>, <'ten':cVc>, <'tia':cvV>, <'ción':cvVc>]"
66,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
67,de las mases de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
68,año 2000 y 2000 en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
69,el cambio climático en el aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
70,la concentración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
71,la temperatura de las contencias,"[<'con':cVc>, <'ten':cVc>, <'cias':cvVs>]"
72,la temperatura de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
73,la secusión de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
74,la producción de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
75,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
