,endecasílabo
0,el año 2000 y 2008 el cambio
1,la precipitación de la contención
2,cambio climático en la concentración
3,cambio climático en la concentración
4,temperatura de la concentración
5,el cambio climático en la concentración
6,calentamiento de la concentración
7,temperatura de la concentración
8,cambio climático en la concentración
9,cambio climático en la concentración
10,la temperatura de la pronición
11,la temperatura de la actividad
12,la temperatura de la entre el cambio
13,cambio climático en la concentración
14,cambio climático en el año 2000
15,cambio climático en la concentración
16,temperatura de la carticación
17,la atmósfera de la temperatura
18,la temperatura de la contencia
19,la mariación de la temperatura
20,de la tierra de la temperatura
21,la atmósfera de la tomperatura
22,la temperatura de la atmósfera
23,de la temperatura de la tierra
24,temperatura de la concentración
25,de las precipitaciones de calor
26,la atmósfera de la temperatura
27,concentración de la temperatura
28,de la concentración de la atmósfera
29,la atmósfera de la temperatura
30,de la concentración de la actividad
31,la atmósfera de la temperatura
32,la concentración de la carticación
33,la temperatura de la atmósfera
34,la temperatura de la energía
35,el año 2000 y 2007 el cambio
36,el cambio climático en la concentración
37,la temperatura de la contencia
38,el año 2000 el cambio climático
39,la temperatura de la atmósfera
40,la temperatura de la evaludad
41,la energía de la temperatura
42,la atmósfera de la temperatura
43,cambio climático en la concentración
44,año 2000 en el cambio climático
45,cambio climático en la concentración
46,la temperatura de la contención
47,cambio climático en la concentración
48,cambio climático en la concentración
49,la atmósfera de la temperatura
50,la consideración de la enalidad
51,el año 2000 y 2007 el cambio
52,la enteración de la temperatura
53,la temperatura de la consecto
54,temperatura de la concentración
55,atmósfera de la tierra de la tierra
56,la concentración de la concentración
57,las procestaciones de la atmósfera
58,la temperatura de la atmósfera
59,la entre el cambio climático es el cambio
60,la atmósfera de la temperatura
61,temperatura de la concentración
62,cambio climático en la concentración
63,estabilización de la concentración
64,la temperatura de la atmósfera
65,temperatura de la contentiación
66,cambio climático en la concentración
67,de las mases de la temperatura
68,año 2000 y 2000 en el cambio
69,el cambio climático en el aumento
70,la concentración de la concentración
71,la temperatura de las contencias
72,la temperatura de la atmósfera
73,la secusión de la temperatura
74,la producción de la temperatura
75,cambio climático en la concentración
76,en la atmósfera de la temperatura
77,la anteración de la consideración
78,la atmósfera de la temperatura
79,concentración de la temperatura
80,el cambio climático en la concentración
81,cambio climático en la concentración
82,de la concentración de la energía
83,la temperatura de la atmósfera
84,temperatura de la concentración
85,la temperatura de la contencia
86,la temperatura de la contención
87,el cambio climático en la continidad
88,y 2008 el clima de la producción
89,concentración de la temperatura
90,la concentración de las consideras
91,de la concentración de la sectores
92,la concentración de la concentración
93,el año 2000 y 2008 el clima
94,de la concentración de la atmósfera
95,continiración de la concentración
96,la tierra de la tierra de la tierra
97,la concentración de la concentración
